onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.231	4.013	Img5825_Image	Image	1	8	2
27.254	4.013	Img5825_RatingScreens	Rating	1	8	2
47.065	4.012	Img4007_Image	Image	2	8	7
57.087	4.012	Img4007_RatingScreens	Rating	2	8	7
73.886	4.012	Img2340_Image	Image	3	7	6
83.908	4.012	Img2340_RatingScreens	Rating	3	7	6
100.073	4.013	Img3195_Image	Image	4	1	9
110.096	4.013	Img3195_RatingScreens	Rating	4	1	9
126.994	4.012	Img2392_Image	Image	5	5	5
137.016	4.012	Img2392_RatingScreens	Rating	5	5	5
150.468	4.012	Img9043_Image	Image	6	2	8
160.49	4.012	Img9043_RatingScreens	Rating	6	2	8
181.284	4.012	Img9940_Image	Image	7	1	9
191.306	4.012	Img9940_RatingScreens	Rating	7	1	9
206.806	4.012	Img9220_Image	Image	8	1	9
216.828	4.012	Img9220_RatingScreens	Rating	8	1	9
233.06	4.013	Img3001_Image	Image	9	1	9
243.083	4.013	Img3001_RatingScreens	Rating	9	1	9
259.182	4.012	Img4505_Image	Image	10	5	6
269.204	4.012	Img4505_RatingScreens	Rating	10	5	6
298.921	4.012	Img5833_Image	Image	11	9	1
308.943	4.012	Img5833_RatingScreens	Rating	11	9	1
324.027	4.012	Img9302_Image	Image	12	3	6
334.049	4.012	Img9302_RatingScreens	Rating	12	3	6
348.583	4.012	Img4085_Image	Image	13	9	9
358.605	4.012	Img4085_RatingScreens	Rating	13	9	9
375.071	4.012	Img2035_Image	Image	14	7	2
385.093	4.012	Img2035_RatingScreens	Rating	14	7	2
400.975	4.013	Img4002_Image	Image	15	9	8
410.998	4.013	Img4002_RatingScreens	Rating	15	9	8
427.946	4.012	Img5829_Image	Image	16	9	1
437.968	4.012	Img5829_RatingScreens	Rating	16	9	1
453.135	4.012	Img7279_Image	Image	17	8	4
463.157	4.012	Img7279_RatingScreens	Rating	17	8	4
479.456	4.012	Img3064_Image	Image	18	1	9
489.478	4.012	Img3064_RatingScreens	Rating	18	1	9
504.362	4.012	Img4612_Image	Image	19	7	5
514.384	4.012	Img4612_RatingScreens	Rating	19	7	5
528.702	4.012	Img1460_Image	Image	20	8	1
538.724	4.012	Img1460_RatingScreens	Rating	20	8	1
570.872	4.012	Img1710_Image	Image	21	9	1
580.894	4.012	Img1710_RatingScreens	Rating	21	9	1
597.426	4.012	Img8190_Image	Image	22	8	5
607.448	4.012	Img8190_RatingScreens	Rating	22	8	5
622.515	4.012	Img3110_Image	Image	23	2	8
632.537	4.012	Img3110_RatingScreens	Rating	23	2	8
647.271	4.012	Img9183_Image	Image	24	1	9
657.293	4.012	Img9183_RatingScreens	Rating	24	1	9
673.142	4.013	Img9560_Image	Image	25	6	4
683.165	4.013	Img9560_RatingScreens	Rating	25	6	4
697.948	4.013	Img5725_Image	Image	26	8	2
707.971	4.013	Img5725_RatingScreens	Rating	26	8	2
722.422	4.012	Img1750_Image	Image	27	8	1
732.444	4.012	Img1750_RatingScreens	Rating	27	8	1
746.678	4.012	Img1947_Image	Image	28	9	3
756.7	4.012	Img1947_RatingScreens	Rating	28	9	3
771.518	4.012	Img1630_Image	Image	29	8	2
781.54	4.012	Img1630_RatingScreens	Rating	29	8	2
798.438	4.012	Img3185_Image	Image	30	3	7
808.46	4.012	Img3185_RatingScreens	Rating	30	3	7
842.806	4.012	Img5621_Image	Image	31	8	6
852.828	4.012	Img5621_RatingScreens	Rating	31	8	6
867.495	4.012	Img7054_Image	Image	32	4	4
877.517	4.012	Img7054_RatingScreens	Rating	32	4	4
893.55	4.012	Img9561_Image	Image	33	2	8
903.572	4.012	Img9561_RatingScreens	Rating	33	2	8
917.956	4.012	Img7043_Image	Image	34	5	5
927.979	4.012	Img7043_RatingScreens	Rating	34	5	5
941.281	4.012	Img2525_Image	Image	35	2	7
951.303	4.012	Img2525_RatingScreens	Rating	35	2	7
965.321	4.012	Img9185_Image	Image	36	1	8
975.343	4.012	Img9185_RatingScreens	Rating	36	1	8
992.541	4.012	Img3530_Image	Image	37	1	9
1002.563	4.012	Img3530_RatingScreens	Rating	37	1	9
1017.597	4.012	Img2730_Image	Image	38	2	9
1027.619	4.012	Img2730_RatingScreens	Rating	38	2	9
1042.203	4.012	Img6220_Image	Image	39	3	9
1052.225	4.012	Img6220_RatingScreens	Rating	39	3	9
1066.11	4.012	Img9075_Image	Image	40	1	9
1076.132	4.012	Img9075_RatingScreens	Rating	40	1	9
