onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.181	4.012	Img2392_Image	Image	1	6	6
27.252	4.012	Img2392_RatingScreens	Rating	1	6	6
41.27	4.012	Img5825_Image	Image	2	7	6
51.308	4.012	Img5825_RatingScreens	Rating	2	7	6
66.974	4.012	Img1750_Image	Image	3	7	7
77.012	4.012	Img1750_RatingScreens	Rating	3	7	7
91.196	4.012	Img7279_Image	Image	4	6	5
101.235	4.012	Img7279_RatingScreens	Rating	4	6	5
116.834	4.011	Img9220_Image	Image	5	4	5
126.872	4.011	Img9220_RatingScreens	Rating	5	4	5
144.319	4.012	Img9185_Image	Image	6	4	6
154.357	4.012	Img9185_RatingScreens	Rating	6	4	6
169.79	4.012	Img1947_Image	Image	7	5	6
179.828	4.012	Img1947_RatingScreens	Rating	7	5	6
193.03	4.012	Img7043_Image	Image	8	5	3
203.068	4.012	Img7043_RatingScreens	Rating	8	5	3
219.216	4.013	Img2035_Image	Image	9	6	5
229.255	4.013	Img2035_RatingScreens	Rating	9	6	5
242.74	4.012	Img6220_Image	Image	10	3	5
252.778	4.012	Img6220_RatingScreens	Rating	10	3	5
284.209	4.012	Img4007_Image	Image	11	7	7
294.247	4.012	Img4007_RatingScreens	Rating	11	7	7
307.965	4.012	Img9302_Image	Image	12	4	5
318.004	4.012	Img9302_RatingScreens	Rating	12	4	5
332.587	4.012	Img1630_Image	Image	13	7	6
342.626	4.012	Img1630_RatingScreens	Rating	13	7	6
358.424	4.012	Img3185_Image	Image	14	4	5
368.463	4.012	Img3185_RatingScreens	Rating	14	4	5
383.346	4.012	Img3195_Image	Image	15	3	7
393.384	4.012	Img3195_RatingScreens	Rating	15	3	7
407.318	4.012	Img4612_Image	Image	16	7	7
417.357	4.012	Img4612_RatingScreens	Rating	16	7	7
431.308	4.012	Img5725_Image	Image	17	6	6
441.346	4.012	Img5725_RatingScreens	Rating	17	6	6
454.365	4.012	Img5621_Image	Image	18	9	8
464.403	4.012	Img5621_RatingScreens	Rating	18	9	8
481.334	4.012	Img1710_Image	Image	19	8	8
491.372	4.012	Img1710_RatingScreens	Rating	19	8	8
506.738	4.012	Img9043_Image	Image	20	4	6
516.777	4.012	Img9043_RatingScreens	Rating	20	4	6
546.343	4.012	Img4505_Image	Image	21	6	5
556.381	4.012	Img4505_RatingScreens	Rating	21	6	5
571.148	4.012	Img4085_Image	Image	22	8	8
581.187	4.012	Img4085_RatingScreens	Rating	22	8	8
596.036	4.012	Img2525_Image	Image	23	5	5
606.075	4.012	Img2525_RatingScreens	Rating	23	5	5
619.626	4.012	Img9075_Image	Image	24	2	8
629.664	4.012	Img9075_RatingScreens	Rating	24	2	8
645.363	4.012	Img7054_Image	Image	25	5	5
655.402	4.012	Img7054_RatingScreens	Rating	25	5	5
670.335	4.012	Img3064_Image	Image	26	1	8
680.373	4.012	Img3064_RatingScreens	Rating	26	1	8
694.774	4.012	Img5833_Image	Image	27	9	8
704.812	4.012	Img5833_RatingScreens	Rating	27	9	8
721.193	4.012	Img9560_Image	Image	28	3	7
731.232	4.012	Img9560_RatingScreens	Rating	28	3	7
745.582	4.012	Img3530_Image	Image	29	3	7
755.621	4.012	Img3530_RatingScreens	Rating	29	3	7
769.338	4.012	Img8190_Image	Image	30	9	8
779.377	4.012	Img8190_RatingScreens	Rating	30	9	8
810.924	4.012	Img9183_Image	Image	31	3	7
820.963	4.012	Img9183_RatingScreens	Rating	31	3	7
834.481	4.012	Img9940_Image	Image	32	2	8
844.519	4.012	Img9940_RatingScreens	Rating	32	2	8
859.202	4.012	Img3001_Image	Image	33	2	9
869.241	4.012	Img3001_RatingScreens	Rating	33	2	9
885.839	4.012	Img3110_Image	Image	34	2	7
895.877	4.012	Img3110_RatingScreens	Rating	34	2	7
910.644	4.012	Img9561_Image	Image	35	4	7
920.682	4.012	Img9561_RatingScreens	Rating	35	4	7
936.531	4.012	Img4002_Image	Image	36	7	7
946.569	4.012	Img4002_RatingScreens	Rating	36	7	7
960.137	4.012	Img5829_Image	Image	37	8	7
970.176	4.012	Img5829_RatingScreens	Rating	37	8	7
985.192	4.012	Img2340_Image	Image	38	7	7
995.23	4.012	Img2340_RatingScreens	Rating	38	7	7
1009.564	4.012	Img1460_Image	Image	39	6	5
1019.603	4.012	Img1460_RatingScreens	Rating	39	6	5
1038.548	4.012	Img2730_Image	Image	40	3	8
1048.586	4.012	Img2730_RatingScreens	Rating	40	3	8
