onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.265	4.012	Img2035_Image	Image	1	6	2
27.287	4.012	Img2035_RatingScreens	Rating	1	6	2
44.368	4.012	Img9043_Image	Image	2	4	6
54.39	4.012	Img9043_RatingScreens	Rating	2	4	6
69.607	4.012	Img1750_Image	Image	3	8	3
79.629	4.012	Img1750_RatingScreens	Rating	3	8	3
96.211	4.012	Img4612_Image	Image	4	7	2
106.233	4.012	Img4612_RatingScreens	Rating	4	7	2
122.449	4.012	Img9302_Image	Image	5	3	7
132.471	4.012	Img9302_RatingScreens	Rating	5	3	7
146.789	4.012	Img2340_Image	Image	6	5	5
156.811	4.012	Img2340_RatingScreens	Rating	6	5	5
172.094	4.012	Img5833_Image	Image	7	7	6
182.116	4.012	Img5833_RatingScreens	Rating	7	7	6
195.851	4.013	Img9560_Image	Image	8	4	7
205.874	4.013	Img9560_RatingScreens	Rating	8	4	7
219.642	4.012	Img5829_Image	Image	9	6	1
229.664	4.012	Img5829_RatingScreens	Rating	9	6	1
245.313	4.013	Img5825_Image	Image	10	7	7
255.336	4.013	Img5825_RatingScreens	Rating	10	7	7
286.701	4.013	Img4007_Image	Image	11	8	7
296.724	4.013	Img4007_RatingScreens	Rating	11	8	7
311.607	4.012	Img2730_Image	Image	12	1	7
321.629	4.012	Img2730_RatingScreens	Rating	12	1	7
337.029	4.012	Img3195_Image	Image	13	3	6
347.051	4.012	Img3195_RatingScreens	Rating	13	3	6
360.72	4.012	Img2525_Image	Image	14	4	3
370.742	4.012	Img2525_RatingScreens	Rating	14	4	3
384.527	4.012	Img4002_Image	Image	15	9	8
394.549	4.012	Img4002_RatingScreens	Rating	15	9	8
410.299	4.012	Img3064_Image	Image	16	2	9
420.321	4.012	Img3064_RatingScreens	Rating	16	2	9
435.637	4.013	Img2392_Image	Image	17	5	3
445.66	4.013	Img2392_RatingScreens	Rating	17	5	3
461.176	4.012	Img5621_Image	Image	18	6	7
471.198	4.012	Img5621_RatingScreens	Rating	18	6	7
484.484	4.012	Img1947_Image	Image	19	7	2
494.506	4.012	Img1947_RatingScreens	Rating	19	7	2
509.323	4.012	Img9075_Image	Image	20	2	7
519.345	4.012	Img9075_RatingScreens	Rating	20	2	7
548.829	4.013	Img3110_Image	Image	21	1	8
558.852	4.013	Img3110_RatingScreens	Rating	21	1	8
575.65	4.012	Img9220_Image	Image	22	3	6
585.672	4.012	Img9220_RatingScreens	Rating	22	3	6
600.489	4.012	Img7054_Image	Image	23	5	2
610.511	4.012	Img7054_RatingScreens	Rating	23	5	2
624.696	4.012	Img1630_Image	Image	24	7	5
634.718	4.012	Img1630_RatingScreens	Rating	24	7	5
648.47	4.012	Img1710_Image	Image	25	8	7
658.492	4.012	Img1710_RatingScreens	Rating	25	8	7
672.726	4.013	Img9940_Image	Image	26	4	8
682.749	4.013	Img9940_RatingScreens	Rating	26	4	8
696.533	4.013	Img3001_Image	Image	27	1	9
706.556	4.013	Img3001_RatingScreens	Rating	27	1	9
722.521	4.013	Img8190_Image	Image	28	7	4
732.544	4.013	Img8190_RatingScreens	Rating	28	7	4
746.362	4.012	Img4085_Image	Image	29	9	7
756.384	4.012	Img4085_RatingScreens	Rating	29	9	7
771.534	4.012	Img9183_Image	Image	30	2	7
781.556	4.012	Img9183_RatingScreens	Rating	30	2	7
813.421	4.013	Img1460_Image	Image	31	6	5
823.444	4.013	Img1460_RatingScreens	Rating	31	6	5
837.512	4.012	Img3530_Image	Image	32	3	7
847.534	4.012	Img3530_RatingScreens	Rating	32	3	7
861.785	4.012	Img3185_Image	Image	33	5	6
871.807	4.012	Img3185_RatingScreens	Rating	33	5	6
885.492	4.012	Img7279_Image	Image	34	5	2
895.514	4.012	Img7279_RatingScreens	Rating	34	5	2
911.763	4.012	Img9185_Image	Image	35	4	6
921.785	4.012	Img9185_RatingScreens	Rating	35	4	6
935.204	4.012	Img7043_Image	Image	36	5	1
945.226	4.012	Img7043_RatingScreens	Rating	36	5	1
959.81	4.012	Img5725_Image	Image	37	7	6
969.833	4.012	Img5725_RatingScreens	Rating	37	7	6
983.118	4.012	Img4505_Image	Image	38	6	6
993.14	4.012	Img4505_RatingScreens	Rating	38	6	6
1006.575	4.013	Img6220_Image	Image	39	7	6
1016.598	4.013	Img6220_RatingScreens	Rating	39	7	6
1030.682	4.012	Img9561_Image	Image	40	2	6
1040.705	4.012	Img9561_RatingScreens	Rating	40	2	6
