onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.164	4.012	Img3001_Image	Image	1	2	8
27.219	4.012	Img3001_RatingScreens	Rating	1	2	8
44.1	4.012	Img4505_Image	Image	2	6	2
54.138	4.012	Img4505_RatingScreens	Rating	2	6	2
69.72	4.013	Img4085_Image	Image	3	8	3
79.759	4.013	Img4085_RatingScreens	Rating	3	8	3
100.136	4.012	Img8190_Image	Image	4	7	2
110.174	4.012	Img8190_RatingScreens	Rating	4	7	2
125.29	4.013	Img6220_Image	Image	5	4	6
135.329	4.013	Img6220_RatingScreens	Rating	5	4	6
149.646	4.012	Img9561_Image	Image	6	3	6
159.685	4.012	Img9561_RatingScreens	Rating	6	3	6
174.484	4.012	Img3195_Image	Image	7	3	6
184.523	4.012	Img3195_RatingScreens	Rating	7	3	6
199.639	4.012	Img2392_Image	Image	8	7	1
209.678	4.012	Img2392_RatingScreens	Rating	8	7	1
226.325	4.012	Img2525_Image	Image	9	4	3
236.364	4.012	Img2525_RatingScreens	Rating	9	4	3
252.596	4.011	Img7054_Image	Image	10	5	1
262.634	4.011	Img7054_RatingScreens	Rating	10	5	1
291.551	4.012	Img1630_Image	Image	11	7	2
301.589	4.012	Img1630_RatingScreens	Rating	11	7	2
315.974	4.011	Img1750_Image	Image	12	7	2
326.012	4.011	Img1750_RatingScreens	Rating	12	7	2
340.395	4.012	Img1460_Image	Image	13	8	2
350.434	4.012	Img1460_RatingScreens	Rating	13	8	2
364.817	4.012	Img5825_Image	Image	14	6	1
374.856	4.012	Img5825_RatingScreens	Rating	14	6	1
389.423	4.012	Img2730_Image	Image	15	6	4
399.461	4.012	Img2730_RatingScreens	Rating	15	6	4
412.896	4.012	Img3185_Image	Image	16	4	4
422.934	4.012	Img3185_RatingScreens	Rating	16	4	4
436.669	4.012	Img7043_Image	Image	17	5	1
446.707	4.012	Img7043_RatingScreens	Rating	17	5	1
461.94	4.012	Img5621_Image	Image	18	7	2
471.978	4.012	Img5621_RatingScreens	Rating	18	7	2
486.196	4.012	Img9560_Image	Image	19	4	8
496.234	4.012	Img9560_RatingScreens	Rating	19	4	8
511.65	4.012	Img3530_Image	Image	20	4	7
521.688	4.012	Img3530_RatingScreens	Rating	20	4	7
551.221	4.013	Img9185_Image	Image	21	3	7
561.26	4.013	Img9185_RatingScreens	Rating	21	3	7
575.311	4.012	Img7279_Image	Image	22	6	1
585.349	4.012	Img7279_RatingScreens	Rating	22	6	1
598.884	4.012	Img9183_Image	Image	23	2	7
608.922	4.012	Img9183_RatingScreens	Rating	23	2	7
622.923	4.012	Img5829_Image	Image	24	7	2
632.962	4.012	Img5829_RatingScreens	Rating	24	7	2
647.046	4.012	Img9075_Image	Image	25	2	8
657.084	4.012	Img9075_RatingScreens	Rating	25	2	8
673.166	4.012	Img4612_Image	Image	26	6	3
683.204	4.012	Img4612_RatingScreens	Rating	26	6	3
696.922	4.012	Img4002_Image	Image	27	8	2
706.961	4.012	Img4002_RatingScreens	Rating	27	8	2
721.377	4.013	Img5725_Image	Image	28	7	1
731.416	4.013	Img5725_RatingScreens	Rating	28	7	1
745.916	4.012	Img9302_Image	Image	29	3	6
755.955	4.012	Img9302_RatingScreens	Rating	29	3	6
769.689	4.012	Img4007_Image	Image	30	8	2
779.728	4.012	Img4007_RatingScreens	Rating	30	8	2
813.356	4.012	Img9940_Image	Image	31	3	8
823.394	4.012	Img9940_RatingScreens	Rating	31	3	8
837.445	4.012	Img2340_Image	Image	32	7	3
847.484	4.012	Img2340_RatingScreens	Rating	32	7	3
861.384	4.013	Img9043_Image	Image	33	2	4
871.423	4.013	Img9043_RatingScreens	Rating	33	2	4
889.269	4.012	Img2035_Image	Image	34	7	1
899.308	4.012	Img2035_RatingScreens	Rating	34	7	1
913.142	4.012	Img1947_Image	Image	35	7	2
923.181	4.012	Img1947_RatingScreens	Rating	35	7	2
937.248	4.012	Img9220_Image	Image	36	4	7
947.286	4.012	Img9220_RatingScreens	Rating	36	4	7
960.971	4.012	Img3064_Image	Image	37	1	8
971.009	4.012	Img3064_RatingScreens	Rating	37	1	8
987.907	4.012	Img3110_Image	Image	38	3	7
997.945	4.012	Img3110_RatingScreens	Rating	38	3	7
1011.247	4.012	Img1710_Image	Image	39	7	2
1021.285	4.012	Img1710_RatingScreens	Rating	39	7	2
1036.318	4.012	Img5833_Image	Image	40	7	2
1046.357	4.012	Img5833_RatingScreens	Rating	40	7	2
