onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.181	4.012	Img9185_Image	Image	1	5	6
27.203	4.012	Img9185_RatingScreens	Rating	1	5	6
48.263	4.013	Img9302_Image	Image	2	3	6
58.286	4.013	Img9302_RatingScreens	Rating	2	3	6
82.692	4.012	Img5833_Image	Image	3	8	2
92.714	4.012	Img5833_RatingScreens	Rating	3	8	2
109.396	4.012	Img2340_Image	Image	4	7	2
119.418	4.012	Img2340_RatingScreens	Rating	4	7	2
135.933	4.013	Img2525_Image	Image	5	5	3
145.956	4.013	Img2525_RatingScreens	Rating	5	5	3
160.073	4.013	Img3195_Image	Image	6	5	5
170.096	4.013	Img3195_RatingScreens	Rating	6	5	5
192.005	4.012	Img6220_Image	Image	7	5	3
202.027	4.012	Img6220_RatingScreens	Rating	7	5	3
216.328	4.012	Img2035_Image	Image	8	7	2
226.35	4.012	Img2035_RatingScreens	Rating	8	7	2
244.264	4.012	Img2730_Image	Image	9	4	6
254.286	4.012	Img2730_RatingScreens	Rating	9	4	6
273.898	4.012	Img9220_Image	Image	10	5	6
283.92	4.012	Img9220_RatingScreens	Rating	10	5	6
316.068	4.013	Img1750_Image	Image	11	7	2
326.091	4.013	Img1750_RatingScreens	Rating	11	7	2
341.607	4.012	Img4007_Image	Image	12	8	8
351.629	4.012	Img4007_RatingScreens	Rating	12	8	8
366.147	4.012	Img5825_Image	Image	13	7	3
376.169	4.012	Img5825_RatingScreens	Rating	13	7	3
394.232	4.013	Img9075_Image	Image	14	3	8
404.255	4.013	Img9075_RatingScreens	Rating	14	3	8
421.302	4.013	Img1710_Image	Image	15	9	1
431.325	4.013	Img1710_RatingScreens	Rating	15	9	1
447.291	4.012	Img3185_Image	Image	16	5	2
457.313	4.012	Img3185_RatingScreens	Rating	16	5	2
470.981	4.012	Img9183_Image	Image	17	3	7
481.003	4.012	Img9183_RatingScreens	Rating	17	3	7
494.305	4.013	Img3001_Image	Image	18	4	8
504.328	4.013	Img3001_RatingScreens	Rating	18	4	8
523.373	4.013	Img1460_Image	Image	19	8	1
533.396	4.013	Img1460_RatingScreens	Rating	19	8	1
548.995	4.012	Img4505_Image	Image	20	5	3
559.017	4.012	Img4505_RatingScreens	Rating	20	5	3
592.897	4.012	Img7043_Image	Image	21	5	1
602.919	4.012	Img7043_RatingScreens	Rating	21	5	1
617.67	4.012	Img7054_Image	Image	22	5	2
627.692	4.012	Img7054_RatingScreens	Rating	22	5	2
645.106	4.012	Img9561_Image	Image	23	4	7
655.128	4.012	Img9561_RatingScreens	Rating	23	4	7
672.043	4.012	Img5829_Image	Image	24	8	2
682.065	4.012	Img5829_RatingScreens	Rating	24	8	2
697.315	4.012	Img5725_Image	Image	25	5	2
707.337	4.012	Img5725_RatingScreens	Rating	25	5	2
725.268	4.012	Img5621_Image	Image	26	7	6
735.29	4.012	Img5621_RatingScreens	Rating	26	7	6
749.008	4.013	Img1947_Image	Image	27	7	2
759.031	4.013	Img1947_RatingScreens	Rating	27	7	2
772.582	4.013	Img9043_Image	Image	28	3	5
782.605	4.013	Img9043_RatingScreens	Rating	28	3	5
800.801	4.012	Img3530_Image	Image	29	5	7
810.824	4.012	Img3530_RatingScreens	Rating	29	5	7
825.924	4.012	Img3110_Image	Image	30	5	7
835.946	4.012	Img3110_RatingScreens	Rating	30	5	7
867.328	4.012	Img1630_Image	Image	31	7	2
877.35	4.012	Img1630_RatingScreens	Rating	31	7	2
891.918	4.012	Img8190_Image	Image	32	8	3
901.94	4.012	Img8190_RatingScreens	Rating	32	8	3
916.507	4.012	Img2392_Image	Image	33	7	3
926.529	4.012	Img2392_RatingScreens	Rating	33	7	3
942.961	4.013	Img9560_Image	Image	34	4	7
952.984	4.013	Img9560_RatingScreens	Rating	34	4	7
970.931	4.012	Img4612_Image	Image	35	7	2
980.953	4.012	Img4612_RatingScreens	Rating	35	7	2
995.57	4.012	Img4085_Image	Image	36	8	8
1005.592	4.012	Img4085_RatingScreens	Rating	36	8	8
1020.359	4.013	Img9940_Image	Image	37	5	8
1030.382	4.013	Img9940_RatingScreens	Rating	37	5	8
1049.611	4.012	Img4002_Image	Image	38	8	8
1059.633	4.012	Img4002_RatingScreens	Rating	38	8	8
1074.383	4.013	Img3064_Image	Image	39	4	8
1084.406	4.013	Img3064_RatingScreens	Rating	39	4	8
1103.035	4.012	Img7279_Image	Image	40	7	3
1113.057	4.012	Img7279_RatingScreens	Rating	40	7	3
