onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.215	4.012	Img2525_Image	Image	1	4	6
27.237	4.012	Img2525_RatingScreens	Rating	1	4	6
45.55	4.012	Img2340_Image	Image	2	8	8
55.572	4.012	Img2340_RatingScreens	Rating	2	8	8
71.671	4.013	Img7043_Image	Image	3	6	5
81.694	4.013	Img7043_RatingScreens	Rating	3	6	5
95.645	4.012	Img4505_Image	Image	4	5	6
105.667	4.012	Img4505_RatingScreens	Rating	4	5	6
120.534	4.012	Img4007_Image	Image	5	8	7
130.557	4.012	Img4007_RatingScreens	Rating	5	8	7
146.073	4.012	Img7279_Image	Image	6	7	3
156.095	4.012	Img7279_RatingScreens	Rating	6	7	3
172.81	4.012	Img5829_Image	Image	7	8	5
182.832	4.012	Img5829_RatingScreens	Rating	7	8	5
200.163	4.012	Img4085_Image	Image	8	9	8
210.186	4.012	Img4085_RatingScreens	Rating	8	9	8
227.217	4.012	Img1710_Image	Image	9	8	2
237.239	4.012	Img1710_RatingScreens	Rating	9	8	2
253.788	4.012	Img7054_Image	Image	10	5	4
263.81	4.012	Img7054_RatingScreens	Rating	10	5	4
296.491	4.012	Img4612_Image	Image	11	5	5
306.513	4.012	Img4612_RatingScreens	Rating	11	5	5
323.527	4.013	Img3064_Image	Image	12	1	8
333.55	4.013	Img3064_RatingScreens	Rating	12	1	8
350.082	4.012	Img3530_Image	Image	13	3	8
360.104	4.012	Img3530_RatingScreens	Rating	13	3	8
375.687	4.012	Img4002_Image	Image	14	9	7
385.709	4.012	Img4002_RatingScreens	Rating	14	9	7
400.66	4.011	Img3001_Image	Image	15	1	9
410.681	4.011	Img3001_RatingScreens	Rating	15	1	9
425.981	4.012	Img3195_Image	Image	16	1	7
436.004	4.012	Img3195_RatingScreens	Rating	16	1	7
450.854	4.012	Img5825_Image	Image	17	7	5
460.876	4.012	Img5825_RatingScreens	Rating	17	7	5
475.826	4.013	Img5833_Image	Image	18	7	5
485.849	4.013	Img5833_RatingScreens	Rating	18	7	5
501.981	4.012	Img9560_Image	Image	19	2	8
512.003	4.012	Img9560_RatingScreens	Rating	19	2	8
526.287	4.013	Img9302_Image	Image	20	1	7
536.31	4.013	Img9302_RatingScreens	Rating	20	1	7
568.408	4.012	Img6220_Image	Image	21	4	7
578.43	4.012	Img6220_RatingScreens	Rating	21	4	7
592.481	4.013	Img2035_Image	Image	22	4	5
602.504	4.013	Img2035_RatingScreens	Rating	22	4	5
615.672	4.013	Img8190_Image	Image	23	5	5
625.695	4.013	Img8190_RatingScreens	Rating	23	5	5
639.729	4.012	Img9220_Image	Image	24	2	8
649.752	4.012	Img9220_RatingScreens	Rating	24	2	8
665.501	4.012	Img1460_Image	Image	25	7	3
675.523	4.012	Img1460_RatingScreens	Rating	25	7	3
694.253	4.012	Img9075_Image	Image	26	1	9
704.275	4.012	Img9075_RatingScreens	Rating	26	1	9
721.306	4.012	Img1630_Image	Image	27	5	3
731.328	4.012	Img1630_RatingScreens	Rating	27	5	3
745.912	4.013	Img9185_Image	Image	28	1	9
755.935	4.013	Img9185_RatingScreens	Rating	28	1	9
771.401	4.012	Img1947_Image	Image	29	5	5
781.423	4.012	Img1947_RatingScreens	Rating	29	5	5
794.359	4.012	Img2392_Image	Image	30	7	7
804.381	4.012	Img2392_RatingScreens	Rating	30	7	7
833	4.012	Img2730_Image	Image	31	1	9
843.022	4.012	Img2730_RatingScreens	Rating	31	1	9
858.255	4.013	Img9043_Image	Image	32	2	7
868.278	4.013	Img9043_RatingScreens	Rating	32	2	7
883.178	4.012	Img3110_Image	Image	33	1	9
893.2	4.012	Img3110_RatingScreens	Rating	33	1	9
908.8	4.012	Img9940_Image	Image	34	2	8
918.822	4.012	Img9940_RatingScreens	Rating	34	2	8
932.956	4.013	Img9561_Image	Image	35	1	8
942.979	4.013	Img9561_RatingScreens	Rating	35	1	8
957.879	4.012	Img9183_Image	Image	36	1	9
967.901	4.012	Img9183_RatingScreens	Rating	36	1	9
983.334	4.012	Img3185_Image	Image	37	1	8
993.357	4.012	Img3185_RatingScreens	Rating	37	1	8
1009.139	4.012	Img5725_Image	Image	38	5	1
1019.161	4.012	Img5725_RatingScreens	Rating	38	5	1
1034.961	4.012	Img5621_Image	Image	39	6	5
1044.983	4.012	Img5621_RatingScreens	Rating	39	6	5
1060.05	4.012	Img1750_Image	Image	40	7	5
1070.072	4.012	Img1750_RatingScreens	Rating	40	7	5
