onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.181	4.012	Img5833_Image	Image	1	9	3
27.203	4.012	Img5833_RatingScreens	Rating	1	9	3
49.778	4.012	Img4612_Image	Image	2	8	6
59.801	4.012	Img4612_RatingScreens	Rating	2	8	6
76.848	4.013	Img2525_Image	Image	3	8	8
86.871	4.013	Img2525_RatingScreens	Rating	3	8	8
104.535	4.012	Img9075_Image	Image	4	2	8
114.557	4.012	Img9075_RatingScreens	Rating	4	2	8
132.321	4.012	Img2392_Image	Image	5	7	5
142.343	4.012	Img2392_RatingScreens	Rating	5	7	5
161.256	4.012	Img1460_Image	Image	6	7	3
171.278	4.012	Img1460_RatingScreens	Rating	6	7	3
185.545	4.013	Img3001_Image	Image	7	2	9
195.568	4.013	Img3001_RatingScreens	Rating	7	2	9
214.813	4.012	Img4002_Image	Image	8	8	2
224.836	4.012	Img4002_RatingScreens	Rating	8	8	2
241.084	4.013	Img4505_Image	Image	9	2	1
251.107	4.013	Img4505_RatingScreens	Rating	9	2	1
271.867	4.012	Img3530_Image	Image	10	5	5
281.889	4.012	Img3530_RatingScreens	Rating	10	5	5
318.532	4.013	Img2340_Image	Image	11	9	8
328.555	4.013	Img2340_RatingScreens	Rating	11	9	8
344.337	4.013	Img1947_Image	Image	12	7	1
354.36	4.013	Img1947_RatingScreens	Rating	12	7	1
370.092	4.013	Img7043_Image	Image	13	6	2
380.115	4.013	Img7043_RatingScreens	Rating	13	6	2
396.114	4.012	Img9220_Image	Image	14	5	7
406.136	4.012	Img9220_RatingScreens	Rating	14	5	7
421.685	4.013	Img5829_Image	Image	15	9	4
431.708	4.013	Img5829_RatingScreens	Rating	15	9	4
448.706	4.012	Img1710_Image	Image	16	7	1
458.728	4.012	Img1710_RatingScreens	Rating	16	7	1
474.011	4.012	Img3110_Image	Image	17	3	6
484.034	4.012	Img3110_RatingScreens	Rating	17	3	6
501.897	4.012	Img6220_Image	Image	18	2	8
511.919	4.012	Img6220_RatingScreens	Rating	18	2	8
526.121	4.012	Img8190_Image	Image	19	9	7
536.143	4.012	Img8190_RatingScreens	Rating	19	9	7
550.61	4.012	Img4085_Image	Image	20	9	6
560.633	4.012	Img4085_RatingScreens	Rating	20	9	6
592.93	4.013	Img3195_Image	Image	21	4	6
602.953	4.013	Img3195_RatingScreens	Rating	21	4	6
620.483	4.013	Img1630_Image	Image	22	6	5
630.506	4.013	Img1630_RatingScreens	Rating	22	6	5
646.155	4.012	Img7279_Image	Image	23	8	5
656.177	4.012	Img7279_RatingScreens	Rating	23	8	5
671.411	4.012	Img3185_Image	Image	24	3	7
681.433	4.012	Img3185_RatingScreens	Rating	24	3	7
699.03	4.012	Img3064_Image	Image	25	1	7
709.052	4.012	Img3064_RatingScreens	Rating	25	1	7
728.847	4.013	Img9185_Image	Image	26	2	5
738.87	4.013	Img9185_RatingScreens	Rating	26	2	5
755.168	4.013	Img2730_Image	Image	27	4	5
765.191	4.013	Img2730_RatingScreens	Rating	27	4	5
781.623	4.012	Img9560_Image	Image	28	6	5
791.645	4.012	Img9560_RatingScreens	Rating	28	6	5
807.477	4.013	Img2035_Image	Image	29	6	6
817.5	4.013	Img2035_RatingScreens	Rating	29	6	6
834.281	4.013	Img1750_Image	Image	30	6	3
844.304	4.013	Img1750_RatingScreens	Rating	30	6	3
877.117	4.013	Img9302_Image	Image	31	2	5
887.14	4.013	Img9302_RatingScreens	Rating	31	2	5
902.556	4.012	Img7054_Image	Image	32	3	1
912.578	4.012	Img7054_RatingScreens	Rating	32	3	1
926.496	4.013	Img5621_Image	Image	33	9	9
936.519	4.013	Img5621_RatingScreens	Rating	33	9	9
953.55	4.012	Img9561_Image	Image	34	2	5
963.572	4.012	Img9561_RatingScreens	Rating	34	2	5
979.721	4.012	Img5725_Image	Image	35	6	6
989.743	4.012	Img5725_RatingScreens	Rating	35	6	6
1006.975	4.012	Img5825_Image	Image	36	7	6
1016.997	4.012	Img5825_RatingScreens	Rating	36	7	6
1033.062	4.013	Img9183_Image	Image	37	2	6
1043.085	4.013	Img9183_RatingScreens	Rating	37	2	6
1062.28	4.012	Img4007_Image	Image	38	8	5
1072.303	4.012	Img4007_RatingScreens	Rating	38	8	5
1088.185	4.012	Img9940_Image	Image	39	2	5
1098.207	4.012	Img9940_RatingScreens	Rating	39	2	5
1112.292	4.012	Img9043_Image	Image	40	2	4
1122.314	4.012	Img9043_RatingScreens	Rating	40	2	4
