onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.181	4.013	Img9185_Image	Image	1	3	6
27.204	4.013	Img9185_RatingScreens	Rating	1	3	6
49.995	4.012	Img9302_Image	Image	2	4	6
60.017	4.012	Img9302_RatingScreens	Rating	2	4	6
76.466	4.012	Img5833_Image	Image	3	7	4
86.488	4.012	Img5833_RatingScreens	Rating	3	7	4
104.052	4.013	Img2340_Image	Image	4	7	5
114.075	4.013	Img2340_RatingScreens	Rating	4	7	5
130.89	4.012	Img2525_Image	Image	5	4	5
140.912	4.012	Img2525_RatingScreens	Rating	5	4	5
159.508	4.012	Img3195_Image	Image	6	3	7
169.53	4.012	Img3195_RatingScreens	Rating	6	3	7
185.663	4.012	Img6220_Image	Image	7	4	6
195.685	4.012	Img6220_RatingScreens	Rating	7	4	6
211.567	4.013	Img2035_Image	Image	8	6	5
221.59	4.013	Img2035_RatingScreens	Rating	8	6	5
236.69	4.012	Img2730_Image	Image	9	2	7
246.712	4.012	Img2730_RatingScreens	Rating	9	2	7
265.425	4.012	Img9220_Image	Image	10	3	7
275.447	4.012	Img9220_RatingScreens	Rating	10	3	7
308.727	4.012	Img1750_Image	Image	11	6	2
318.749	4.012	Img1750_RatingScreens	Rating	11	6	2
338.711	4.012	Img4007_Image	Image	12	7	4
348.733	4.012	Img4007_RatingScreens	Rating	12	7	4
369.493	4.013	Img5825_Image	Image	13	8	2
379.516	4.013	Img5825_RatingScreens	Rating	13	8	2
397.945	4.013	Img9075_Image	Image	14	3	9
407.968	4.013	Img9075_RatingScreens	Rating	14	3	9
424.899	4.012	Img1710_Image	Image	15	7	3
434.921	4.012	Img1710_RatingScreens	Rating	15	7	3
454.317	4.012	Img3185_Image	Image	16	3	4
464.339	4.012	Img3185_RatingScreens	Rating	16	3	4
478.84	4.012	Img9183_Image	Image	17	2	7
488.862	4.012	Img9183_RatingScreens	Rating	17	2	7
504.445	4.012	Img3001_Image	Image	18	2	9
514.467	4.012	Img3001_RatingScreens	Rating	18	2	9
530.683	4.012	Img1460_Image	Image	19	6	3
540.705	4.012	Img1460_RatingScreens	Rating	19	6	3
555.039	4.012	Img4505_Image	Image	20	6	2
565.061	4.012	Img4505_RatingScreens	Rating	20	6	2
595.361	4.013	Img7043_Image	Image	21	7	1
605.384	4.013	Img7043_RatingScreens	Rating	21	7	1
624.912	4.012	Img7054_Image	Image	22	3	2
634.935	4.012	Img7054_RatingScreens	Rating	22	3	2
652.099	4.012	Img9561_Image	Image	23	2	7
662.121	4.012	Img9561_RatingScreens	Rating	23	2	7
680.934	4.012	Img5829_Image	Image	24	8	5
690.956	4.012	Img5829_RatingScreens	Rating	24	8	5
705.956	4.013	Img5725_Image	Image	25	8	5
715.979	4.013	Img5725_RatingScreens	Rating	25	8	5
731.478	4.012	Img5621_Image	Image	26	9	7
741.501	4.012	Img5621_RatingScreens	Rating	26	9	7
756.451	4.012	Img1947_Image	Image	27	6	2
766.473	4.012	Img1947_RatingScreens	Rating	27	6	2
781.656	4.013	Img9043_Image	Image	28	3	3
791.679	4.013	Img9043_RatingScreens	Rating	28	3	3
806.596	4.012	Img3530_Image	Image	29	3	8
816.618	4.012	Img3530_RatingScreens	Rating	29	3	8
832.767	4.012	Img3110_Image	Image	30	2	9
842.789	4.012	Img3110_RatingScreens	Rating	30	2	9
874.671	4.012	Img1630_Image	Image	31	7	4
884.693	4.012	Img1630_RatingScreens	Rating	31	7	4
903.073	4.012	Img8190_Image	Image	32	9	7
913.095	4.012	Img8190_RatingScreens	Rating	32	9	7
930.759	4.012	Img2392_Image	Image	33	4	5
940.781	4.012	Img2392_RatingScreens	Rating	33	4	5
954.982	4.012	Img9560_Image	Image	34	3	7
965.004	4.012	Img9560_RatingScreens	Rating	34	3	7
981.952	4.013	Img4612_Image	Image	35	7	8
991.975	4.013	Img4612_RatingScreens	Rating	35	7	8
1008.407	4.012	Img4085_Image	Image	36	8	9
1018.429	4.012	Img4085_RatingScreens	Rating	36	8	9
1036.626	4.012	Img9940_Image	Image	37	2	8
1046.648	4.012	Img9940_RatingScreens	Rating	37	2	8
1062.147	4.013	Img4002_Image	Image	38	8	7
1072.17	4.013	Img4002_RatingScreens	Rating	38	8	7
1090.616	4.012	Img3064_Image	Image	39	1	9
1100.638	4.012	Img3064_RatingScreens	Rating	39	1	9
1116.454	4.013	Img7279_Image	Image	40	7	5
1126.477	4.013	Img7279_RatingScreens	Rating	40	7	5
