onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.164	4.012	Img5833_Image	Image	1	8	4
27.219	4.012	Img5833_RatingScreens	Rating	1	8	4
53.356	4.012	Img9561_Image	Image	2	3	7
63.394	4.012	Img9561_RatingScreens	Rating	2	3	7
79.576	4.012	Img4002_Image	Image	3	8	8
89.614	4.012	Img4002_RatingScreens	Rating	3	8	8
109.308	4.012	Img4007_Image	Image	4	9	2
119.347	4.012	Img4007_RatingScreens	Rating	4	9	2
136.211	4.012	Img2392_Image	Image	5	8	1
146.249	4.012	Img2392_RatingScreens	Rating	5	8	1
160.633	4.012	Img1750_Image	Image	6	7	1
170.671	4.012	Img1750_RatingScreens	Rating	6	7	1
187.552	4.012	Img8190_Image	Image	7	6	5
197.59	4.012	Img8190_RatingScreens	Rating	7	6	5
214.554	4.012	Img9075_Image	Image	8	1	6
224.593	4.012	Img9075_RatingScreens	Rating	8	1	6
244.753	4.012	Img7043_Image	Image	9	5	5
254.791	4.012	Img7043_RatingScreens	Rating	9	5	5
268.426	4.012	Img5825_Image	Image	10	9	1
278.464	4.012	Img5825_RatingScreens	Rating	10	9	1
311.143	4.012	Img3530_Image	Image	11	2	8
321.182	4.012	Img3530_RatingScreens	Rating	11	2	8
339.311	4.012	Img5725_Image	Image	12	9	6
349.349	4.012	Img5725_RatingScreens	Rating	12	9	6
365.398	4.012	Img3001_Image	Image	13	1	9
375.436	4.012	Img3001_RatingScreens	Rating	13	1	9
389.77	4.012	Img9220_Image	Image	14	4	8
399.808	4.012	Img9220_RatingScreens	Rating	14	4	8
421.367	4.012	Img1630_Image	Image	15	6	4
431.405	4.012	Img1630_RatingScreens	Rating	15	6	4
450.034	4.012	Img9940_Image	Image	16	3	9
460.072	4.012	Img9940_RatingScreens	Rating	16	3	9
475.788	4.012	Img2340_Image	Image	17	8	6
485.826	4.012	Img2340_RatingScreens	Rating	17	8	6
502.424	4.012	Img3185_Image	Image	18	2	8
512.462	4.012	Img3185_RatingScreens	Rating	18	2	8
528.178	4.011	Img1710_Image	Image	19	8	6
538.216	4.011	Img1710_RatingScreens	Rating	19	8	6
554.381	4.012	Img5829_Image	Image	20	9	5
564.419	4.012	Img5829_RatingScreens	Rating	20	9	5
595.317	4.012	Img3064_Image	Image	21	1	9
605.355	4.012	Img3064_RatingScreens	Rating	21	1	9
620.006	4.011	Img9560_Image	Image	22	2	7
630.044	4.011	Img9560_RatingScreens	Rating	22	2	7
644.993	4.012	Img9302_Image	Image	23	1	7
655.032	4.012	Img9302_RatingScreens	Rating	23	1	7
672.029	4.012	Img1460_Image	Image	24	8	5
682.067	4.012	Img1460_RatingScreens	Rating	24	8	5
698.532	4.012	Img7279_Image	Image	25	9	7
708.57	4.012	Img7279_RatingScreens	Rating	25	9	7
722.354	4.012	Img4505_Image	Image	26	7	6
732.393	4.012	Img4505_RatingScreens	Rating	26	7	6
745.728	4.012	Img4085_Image	Image	27	9	7
755.766	4.012	Img4085_RatingScreens	Rating	27	9	7
773.396	4.012	Img1947_Image	Image	28	8	5
783.434	4.012	Img1947_RatingScreens	Rating	28	8	5
803.245	4.012	Img9185_Image	Image	29	1	7
813.283	4.012	Img9185_RatingScreens	Rating	29	1	7
829.232	4.012	Img2730_Image	Image	30	1	9
839.27	4.012	Img2730_RatingScreens	Rating	30	1	9
872.149	4.012	Img6220_Image	Image	31	2	6
882.188	4.012	Img6220_RatingScreens	Rating	31	2	6
898.719	4.012	Img9043_Image	Image	32	1	7
908.757	4.012	Img9043_RatingScreens	Rating	32	1	7
923.341	4.011	Img7054_Image	Image	33	5	5
933.379	4.011	Img7054_RatingScreens	Rating	33	5	5
946.897	4.012	Img3195_Image	Image	34	1	8
956.935	4.012	Img3195_RatingScreens	Rating	34	1	8
975.148	4.012	Img5621_Image	Image	35	6	5
985.186	4.012	Img5621_RatingScreens	Rating	35	6	5
998.754	4.012	Img2525_Image	Image	36	6	5
1008.792	4.012	Img2525_RatingScreens	Rating	36	6	5
1023.176	4.012	Img3110_Image	Image	37	3	6
1033.214	4.012	Img3110_RatingScreens	Rating	37	3	6
1051.293	4.012	Img4612_Image	Image	38	7	5
1061.332	4.012	Img4612_RatingScreens	Rating	38	7	5
1076.198	4.012	Img9183_Image	Image	39	1	9
1086.237	4.012	Img9183_RatingScreens	Rating	39	1	9
1103.101	4.012	Img2035_Image	Image	40	8	6
1113.139	4.012	Img2035_RatingScreens	Rating	40	8	6
