onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.231	4.012	Img7043_Image	Image	1	5	5
27.253	4.012	Img7043_RatingScreens	Rating	1	5	5
43.752	4.012	Img3195_Image	Image	2	3	8
53.774	4.012	Img3195_RatingScreens	Rating	2	3	8
68.924	4.012	Img2392_Image	Image	3	7	1
78.946	4.012	Img2392_RatingScreens	Rating	3	7	1
95.411	4.013	Img9043_Image	Image	4	2	2
105.434	4.013	Img9043_RatingScreens	Rating	4	2	2
123.364	4.012	Img3064_Image	Image	5	3	7
133.386	4.012	Img3064_RatingScreens	Rating	5	3	7
148.203	4.013	Img5833_Image	Image	6	8	2
158.226	4.013	Img5833_RatingScreens	Rating	6	8	2
175.856	4.012	Img1750_Image	Image	7	7	1
185.878	4.012	Img1750_RatingScreens	Rating	7	7	1
203.226	4.012	Img7279_Image	Image	8	5	2
213.248	4.012	Img7279_RatingScreens	Rating	8	5	2
228.765	4.012	Img3185_Image	Image	9	3	6
238.787	4.012	Img3185_RatingScreens	Rating	9	3	6
255.352	4.012	Img2340_Image	Image	10	6	6
265.374	4.012	Img2340_RatingScreens	Rating	10	6	6
296.49	4.012	Img5621_Image	Image	11	7	3
306.512	4.012	Img5621_RatingScreens	Rating	11	7	3
321.296	4.012	Img8190_Image	Image	12	8	1
331.318	4.012	Img8190_RatingScreens	Rating	12	8	1
346.435	4.012	Img4002_Image	Image	13	7	8
356.457	4.012	Img4002_RatingScreens	Rating	13	7	8
371.108	4.012	Img5829_Image	Image	14	9	1
381.13	4.012	Img5829_RatingScreens	Rating	14	9	1
395.997	4.012	Img4085_Image	Image	15	8	8
406.019	4.012	Img4085_RatingScreens	Rating	15	8	8
423.45	4.012	Img7054_Image	Image	16	4	2
433.473	4.012	Img7054_RatingScreens	Rating	16	4	2
448.672	4.013	Img4505_Image	Image	17	5	4
458.695	4.013	Img4505_RatingScreens	Rating	17	5	4
479.605	4.012	Img9183_Image	Image	18	1	9
489.627	4.012	Img9183_RatingScreens	Rating	18	1	9
505.393	4.013	Img9302_Image	Image	19	3	2
515.416	4.013	Img9302_RatingScreens	Rating	19	3	2
529.434	4.012	Img3530_Image	Image	20	2	8
539.456	4.012	Img3530_RatingScreens	Rating	20	2	8
575.783	4.012	Img1947_Image	Image	21	8	1
585.805	4.012	Img1947_RatingScreens	Rating	21	8	1
600.106	4.012	Img9561_Image	Image	22	1	9
610.128	4.012	Img9561_RatingScreens	Rating	22	1	9
624.379	4.012	Img3001_Image	Image	23	1	9
634.401	4.012	Img3001_RatingScreens	Rating	23	1	9
649.118	4.013	Img4007_Image	Image	24	7	6
659.141	4.013	Img4007_RatingScreens	Rating	24	7	6
675.806	4.012	Img2730_Image	Image	25	2	8
685.828	4.012	Img2730_RatingScreens	Rating	25	2	8
700.712	4.012	Img9940_Image	Image	26	3	9
710.734	4.012	Img9940_RatingScreens	Rating	26	3	9
725.335	4.012	Img5825_Image	Image	27	8	1
735.357	4.012	Img5825_RatingScreens	Rating	27	8	1
749.058	4.013	Img2525_Image	Image	28	5	3
759.081	4.013	Img2525_RatingScreens	Rating	28	5	3
775.629	4.012	Img3110_Image	Image	29	5	5
785.651	4.012	Img3110_RatingScreens	Rating	29	5	5
800.036	4.012	Img2035_Image	Image	30	4	1
810.058	4.012	Img2035_RatingScreens	Rating	30	4	1
840.375	4.012	Img9185_Image	Image	31	1	9
850.397	4.012	Img9185_RatingScreens	Rating	31	1	9
864.465	4.012	Img6220_Image	Image	32	2	9
874.487	4.012	Img6220_RatingScreens	Rating	32	2	9
888.938	4.012	Img1460_Image	Image	33	9	1
898.96	4.012	Img1460_RatingScreens	Rating	33	9	1
913.644	4.012	Img9075_Image	Image	34	1	9
923.666	4.012	Img9075_RatingScreens	Rating	34	1	9
938.2	4.012	Img1630_Image	Image	35	7	1
948.222	4.012	Img1630_RatingScreens	Rating	35	7	1
961.658	4.012	Img5725_Image	Image	36	6	2
971.68	4.012	Img5725_RatingScreens	Rating	36	6	2
986.33	4.013	Img4612_Image	Image	37	6	1
996.353	4.013	Img4612_RatingScreens	Rating	37	6	1
1012.535	4.012	Img1710_Image	Image	38	7	1
1022.557	4.012	Img1710_RatingScreens	Rating	38	7	1
1037.224	4.013	Img9560_Image	Image	39	2	7
1047.247	4.013	Img9560_RatingScreens	Rating	39	2	7
1061.048	4.012	Img9220_Image	Image	40	3	6
1071.071	4.012	Img9220_RatingScreens	Rating	40	3	6
