onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.248	4.012	Img5725_Image	Image	1	7	4
27.27	4.012	Img5725_RatingScreens	Rating	1	7	4
43.319	4.013	Img9560_Image	Image	2	3	7
53.342	4.013	Img9560_RatingScreens	Rating	2	3	7
70.14	4.012	Img9302_Image	Image	3	3	5
80.162	4.012	Img9302_RatingScreens	Rating	3	3	5
94.23	4.012	Img1947_Image	Image	4	7	2
104.252	4.012	Img1947_RatingScreens	Rating	4	7	2
117.904	4.012	Img7279_Image	Image	5	8	2
127.926	4.012	Img7279_RatingScreens	Rating	5	8	2
143.143	4.012	Img4085_Image	Image	6	8	3
153.165	4.012	Img4085_RatingScreens	Rating	6	8	3
167.3	4.012	Img9075_Image	Image	7	1	8
177.322	4.012	Img9075_RatingScreens	Rating	7	1	8
191.39	4.012	Img9183_Image	Image	8	1	9
201.412	4.012	Img9183_RatingScreens	Rating	8	1	9
217.761	4.012	Img5621_Image	Image	9	7	3
227.783	4.012	Img5621_RatingScreens	Rating	9	7	3
243.682	4.012	Img2392_Image	Image	10	8	2
253.705	4.012	Img2392_RatingScreens	Rating	10	8	2
284.238	4.012	Img2525_Image	Image	11	5	6
294.26	4.012	Img2525_RatingScreens	Rating	11	5	6
309.743	4.012	Img2035_Image	Image	12	6	2
319.765	4.012	Img2035_RatingScreens	Rating	12	6	2
333.067	4.012	Img1630_Image	Image	13	7	3
343.089	4.012	Img1630_RatingScreens	Rating	13	7	3
358.706	4.012	Img1750_Image	Image	14	8	3
368.728	4.012	Img1750_RatingScreens	Rating	14	8	3
382.246	4.013	Img9220_Image	Image	15	4	7
392.269	4.013	Img9220_RatingScreens	Rating	15	4	7
407.169	4.012	Img5825_Image	Image	16	7	5
417.191	4.012	Img5825_RatingScreens	Rating	16	7	5
431.942	4.012	Img3195_Image	Image	17	3	7
441.964	4.012	Img3195_RatingScreens	Rating	17	3	7
456.481	4.013	Img7054_Image	Image	18	4	1
466.504	4.013	Img7054_RatingScreens	Rating	18	4	1
481.271	4.012	Img3001_Image	Image	19	3	6
491.293	4.012	Img3001_RatingScreens	Rating	19	3	6
504.811	4.013	Img3185_Image	Image	20	4	6
514.834	4.013	Img3185_RatingScreens	Rating	20	4	6
546.366	4.012	Img6220_Image	Image	21	4	5
556.388	4.012	Img6220_RatingScreens	Rating	21	4	5
571.904	4.012	Img2340_Image	Image	22	8	6
581.926	4.012	Img2340_RatingScreens	Rating	22	8	6
597.176	4.013	Img1710_Image	Image	23	8	3
607.199	4.013	Img1710_RatingScreens	Rating	23	8	3
621.017	4.012	Img3064_Image	Image	24	4	8
631.039	4.012	Img3064_RatingScreens	Rating	24	4	8
648.52	4.012	Img5833_Image	Image	25	7	2
658.542	4.012	Img5833_RatingScreens	Rating	25	7	2
672.344	4.012	Img1460_Image	Image	26	7	2
682.366	4.012	Img1460_RatingScreens	Rating	26	7	2
695.685	4.012	Img3530_Image	Image	27	4	6
705.707	4.012	Img3530_RatingScreens	Rating	27	4	6
719.209	4.012	Img4505_Image	Image	28	5	2
729.231	4.012	Img4505_RatingScreens	Rating	28	5	2
742.833	4.012	Img9940_Image	Image	29	4	8
752.855	4.012	Img9940_RatingScreens	Rating	29	4	8
768.821	4.012	Img7043_Image	Image	30	5	1
778.843	4.012	Img7043_RatingScreens	Rating	30	5	1
810.974	4.013	Img4612_Image	Image	31	7	5
820.997	4.013	Img4612_RatingScreens	Rating	31	7	5
834.315	4.013	Img4002_Image	Image	32	8	2
844.338	4.013	Img4002_RatingScreens	Rating	32	8	2
858.256	4.012	Img2730_Image	Image	33	2	7
868.278	4.012	Img2730_RatingScreens	Rating	33	2	7
883.028	4.013	Img4007_Image	Image	34	7	3
893.051	4.013	Img4007_RatingScreens	Rating	34	7	3
908.617	4.012	Img9561_Image	Image	35	2	8
918.639	4.012	Img9561_RatingScreens	Rating	35	2	8
933.09	4.012	Img9185_Image	Image	36	2	8
943.112	4.012	Img9185_RatingScreens	Rating	36	2	8
956.88	4.013	Img5829_Image	Image	37	7	5
966.903	4.013	Img5829_RatingScreens	Rating	37	7	5
985.282	4.013	Img9043_Image	Image	38	3	3
995.305	4.013	Img9043_RatingScreens	Rating	38	3	3
1008.79	4.012	Img3110_Image	Image	39	3	7
1018.812	4.012	Img3110_RatingScreens	Rating	39	3	7
1034.162	4.012	Img8190_Image	Image	40	7	2
1044.184	4.012	Img8190_RatingScreens	Rating	40	7	2
