onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.181	4.013	Img2525_Image	Image	1	5	2
27.204	4.013	Img2525_RatingScreens	Rating	1	5	2
46.982	4.012	Img2340_Image	Image	2	8	7
57.004	4.012	Img2340_RatingScreens	Rating	2	8	7
72.737	4.012	Img7043_Image	Image	3	4	1
82.759	4.012	Img7043_RatingScreens	Rating	3	4	1
99.308	4.012	Img4505_Image	Image	4	6	2
109.33	4.012	Img4505_RatingScreens	Rating	4	6	2
130.673	4.012	Img4007_Image	Image	5	6	6
140.696	4.012	Img4007_RatingScreens	Rating	5	6	6
161.123	4.012	Img7279_Image	Image	6	7	6
171.145	4.012	Img7279_RatingScreens	Rating	6	7	6
184.331	4.012	Img5829_Image	Image	7	8	6
194.353	4.012	Img5829_RatingScreens	Rating	7	8	6
210.918	4.012	Img4085_Image	Image	8	8	7
220.941	4.012	Img4085_RatingScreens	Rating	8	8	7
237.506	4.012	Img1710_Image	Image	9	8	8
247.528	4.012	Img1710_RatingScreens	Rating	9	8	8
266.374	4.012	Img7054_Image	Image	10	6	3
276.396	4.012	Img7054_RatingScreens	Rating	10	6	3
308.744	4.012	Img4612_Image	Image	11	7	7
318.766	4.012	Img4612_RatingScreens	Rating	11	7	7
332.901	4.012	Img3064_Image	Image	12	1	8
342.923	4.012	Img3064_RatingScreens	Rating	12	1	8
358.822	4.012	Img3530_Image	Image	13	3	6
368.844	4.012	Img3530_RatingScreens	Rating	13	3	6
383.478	4.013	Img4002_Image	Image	14	7	8
393.501	4.013	Img4002_RatingScreens	Rating	14	7	8
409.251	4.011	Img3001_Image	Image	15	2	7
419.272	4.011	Img3001_RatingScreens	Rating	15	2	7
433.357	4.012	Img3195_Image	Image	16	2	8
443.379	4.012	Img3195_RatingScreens	Rating	16	2	8
459.728	4.012	Img5825_Image	Image	17	8	7
469.75	4.012	Img5825_RatingScreens	Rating	17	8	7
486.598	4.012	Img5833_Image	Image	18	8	7
496.62	4.012	Img5833_RatingScreens	Rating	18	8	7
511.387	4.013	Img9560_Image	Image	19	2	7
521.41	4.013	Img9560_RatingScreens	Rating	19	2	7
536.394	4.012	Img9302_Image	Image	20	2	8
546.416	4.012	Img9302_RatingScreens	Rating	20	2	8
578.215	4.011	Img6220_Image	Image	21	6	2
588.236	4.011	Img6220_RatingScreens	Rating	21	6	2
606.849	4.012	Img2035_Image	Image	22	7	6
616.871	4.012	Img2035_RatingScreens	Rating	22	7	6
634.569	4.012	Img8190_Image	Image	23	8	6
644.591	4.012	Img8190_RatingScreens	Rating	23	8	6
658.525	4.013	Img9220_Image	Image	24	2	2
668.548	4.013	Img9220_RatingScreens	Rating	24	2	2
684.28	4.013	Img1460_Image	Image	25	8	6
694.303	4.013	Img1460_RatingScreens	Rating	25	8	6
710.402	4.012	Img9075_Image	Image	26	3	2
720.424	4.012	Img9075_RatingScreens	Rating	26	3	2
734.342	4.012	Img1630_Image	Image	27	7	4
744.364	4.012	Img1630_RatingScreens	Rating	27	7	4
759.914	4.012	Img9185_Image	Image	28	2	2
769.936	4.012	Img9185_RatingScreens	Rating	28	2	2
784.67	4.012	Img1947_Image	Image	29	7	6
794.692	4.012	Img1947_RatingScreens	Rating	29	7	6
810.758	4.012	Img2392_Image	Image	30	3	4
820.78	4.012	Img2392_RatingScreens	Rating	30	3	4
850.165	4.012	Img2730_Image	Image	31	3	6
860.187	4.012	Img2730_RatingScreens	Rating	31	3	6
876.968	4.013	Img9043_Image	Image	32	4	6
886.991	4.013	Img9043_RatingScreens	Rating	32	4	6
900.692	4.012	Img3110_Image	Image	33	2	7
910.715	4.012	Img3110_RatingScreens	Rating	33	2	7
924.982	4.012	Img9940_Image	Image	34	3	7
935.004	4.012	Img9940_RatingScreens	Rating	34	3	7
948.823	4.012	Img9561_Image	Image	35	2	7
958.845	4.012	Img9561_RatingScreens	Rating	35	2	7
974.078	4.012	Img9183_Image	Image	36	2	7
984.1	4.012	Img9183_RatingScreens	Rating	36	2	7
997.952	4.012	Img3185_Image	Image	37	4	6
1007.974	4.012	Img3185_RatingScreens	Rating	37	4	6
1021.143	4.012	Img5725_Image	Image	38	6	2
1031.165	4.012	Img5725_RatingScreens	Rating	38	6	2
1046.548	4.013	Img5621_Image	Image	39	7	3
1056.571	4.013	Img5621_RatingScreens	Rating	39	7	3
1075.633	4.012	Img1750_Image	Image	40	7	6
1085.655	4.012	Img1750_RatingScreens	Rating	40	7	6
