onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.179	4.012	Img9302_Image	Image	1	3	4
27.234	4.012	Img9302_RatingScreens	Rating	1	3	4
44.115	4.012	Img5833_Image	Image	2	7	2
54.154	4.012	Img5833_RatingScreens	Rating	2	7	2
69.287	4.012	Img1750_Image	Image	3	8	2
79.325	4.012	Img1750_RatingScreens	Rating	3	8	2
94.841	4.012	Img9560_Image	Image	4	2	7
104.879	4.012	Img9560_RatingScreens	Rating	4	2	7
120.429	4.011	Img3110_Image	Image	5	2	7
130.467	4.011	Img3110_RatingScreens	Rating	5	2	7
145.8	4.011	Img1710_Image	Image	6	7	1
155.838	4.011	Img1710_RatingScreens	Rating	6	7	1
172.153	4.012	Img5621_Image	Image	7	7	2
182.191	4.012	Img5621_RatingScreens	Rating	7	7	2
196.958	4.012	Img9220_Image	Image	8	3	7
206.996	4.012	Img9220_RatingScreens	Rating	8	3	7
221.979	4.012	Img9183_Image	Image	9	2	7
232.018	4.012	Img9183_RatingScreens	Rating	9	2	7
247.333	4.013	Img4007_Image	Image	10	8	4
257.372	4.013	Img4007_RatingScreens	Rating	10	8	4
289.102	4.013	Img1947_Image	Image	11	6	3
299.141	4.013	Img1947_RatingScreens	Rating	11	6	3
313.991	4.012	Img3001_Image	Image	12	1	7
324.029	4.012	Img3001_RatingScreens	Rating	12	1	7
340.477	4.012	Img4505_Image	Image	13	6	4
350.516	4.012	Img4505_RatingScreens	Rating	13	6	4
364.916	4.012	Img9561_Image	Image	14	3	6
374.955	4.012	Img9561_RatingScreens	Rating	14	3	6
389.105	4.012	Img4612_Image	Image	15	7	3
399.144	4.012	Img4612_RatingScreens	Rating	15	7	3
415.059	4.012	Img9940_Image	Image	16	3	7
425.097	4.012	Img9940_RatingScreens	Rating	16	3	7
440.397	4.012	Img9185_Image	Image	17	3	7
450.435	4.012	Img9185_RatingScreens	Rating	17	3	7
467.799	4.012	Img7043_Image	Image	18	5	1
477.837	4.012	Img7043_RatingScreens	Rating	18	5	1
493.453	4.012	Img1460_Image	Image	19	7	2
503.491	4.012	Img1460_RatingScreens	Rating	19	7	2
518.358	4.012	Img4085_Image	Image	20	8	8
528.396	4.012	Img4085_RatingScreens	Rating	20	8	8
561.042	4.012	Img3064_Image	Image	21	1	9
571.081	4.012	Img3064_RatingScreens	Rating	21	1	9
588.811	4.012	Img6220_Image	Image	22	2	8
598.849	4.012	Img6220_RatingScreens	Rating	22	2	8
614.065	4.012	Img2035_Image	Image	23	7	2
624.104	4.012	Img2035_RatingScreens	Rating	23	7	2
639.203	4.012	Img5829_Image	Image	24	8	3
649.242	4.012	Img5829_RatingScreens	Rating	24	8	3
664.691	4.012	Img7054_Image	Image	25	4	4
674.729	4.012	Img7054_RatingScreens	Rating	25	4	4
689.196	4.012	Img2730_Image	Image	26	2	8
699.235	4.012	Img2730_RatingScreens	Rating	26	2	8
714.734	4.012	Img3195_Image	Image	27	3	7
724.772	4.012	Img3195_RatingScreens	Rating	27	3	7
739.955	4.012	Img8190_Image	Image	28	7	3
749.994	4.012	Img8190_RatingScreens	Rating	28	7	3
763.961	4.012	Img5725_Image	Image	29	8	2
773.999	4.012	Img5725_RatingScreens	Rating	29	8	2
788.999	4.012	Img5825_Image	Image	30	7	2
799.038	4.012	Img5825_RatingScreens	Rating	30	7	2
830.518	4.012	Img9075_Image	Image	31	2	8
840.557	4.012	Img9075_RatingScreens	Rating	31	2	8
861.317	4.012	Img9043_Image	Image	32	2	4
871.355	4.012	Img9043_RatingScreens	Rating	32	2	4
889.085	4.012	Img7279_Image	Image	33	8	3
899.123	4.012	Img7279_RatingScreens	Rating	33	8	3
915.238	4.012	Img2392_Image	Image	34	5	4
925.277	4.012	Img2392_RatingScreens	Rating	34	5	4
940.41	4.012	Img1630_Image	Image	35	7	2
950.448	4.012	Img1630_RatingScreens	Rating	35	7	2
965.764	4.012	Img4002_Image	Image	36	8	7
975.803	4.012	Img4002_RatingScreens	Rating	36	8	7
991.618	4.012	Img3530_Image	Image	37	1	8
1001.656	4.012	Img3530_RatingScreens	Rating	37	1	8
1018.82	4.012	Img2525_Image	Image	38	3	6
1028.859	4.012	Img2525_RatingScreens	Rating	38	3	6
1045.457	4.012	Img3185_Image	Image	39	2	6
1055.495	4.012	Img3185_RatingScreens	Rating	39	2	6
1070.411	4.012	Img2340_Image	Image	40	7	3
1080.45	4.012	Img2340_RatingScreens	Rating	40	7	3
