onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.181	4.012	Img9560_Image	Image	1	3	8
27.203	4.012	Img9560_RatingScreens	Rating	1	3	8
51.41	4.012	Img3001_Image	Image	2	1	9
61.432	4.012	Img3001_RatingScreens	Rating	2	1	9
77.797	4.013	Img4505_Image	Image	3	6	5
87.82	4.013	Img4505_RatingScreens	Rating	3	6	5
108.547	4.012	Img3185_Image	Image	4	3	7
118.569	4.012	Img3185_RatingScreens	Rating	4	3	7
137.998	4.012	Img5621_Image	Image	5	9	1
148.02	4.012	Img5621_RatingScreens	Rating	5	9	1
166.067	4.012	Img9561_Image	Image	6	4	6
176.089	4.012	Img9561_RatingScreens	Rating	6	4	6
194.219	4.012	Img3064_Image	Image	7	1	9
204.242	4.012	Img3064_RatingScreens	Rating	7	1	9
223.171	4.012	Img1460_Image	Image	8	8	5
233.193	4.012	Img1460_RatingScreens	Rating	8	8	5
253.021	4.012	Img2525_Image	Image	9	6	7
263.043	4.012	Img2525_RatingScreens	Rating	9	6	7
285.569	4.012	Img9940_Image	Image	10	3	8
295.591	4.012	Img9940_RatingScreens	Rating	10	3	8
330.786	4.012	Img9302_Image	Image	11	2	7
340.808	4.012	Img9302_RatingScreens	Rating	11	2	7
357.206	4.013	Img4002_Image	Image	12	9	8
367.229	4.013	Img4002_RatingScreens	Rating	12	9	8
386.807	4.012	Img9183_Image	Image	13	3	7
396.83	4.012	Img9183_RatingScreens	Rating	13	3	7
413.778	4.012	Img2340_Image	Image	14	8	8
423.8	4.012	Img2340_RatingScreens	Rating	14	8	8
441.747	4.012	Img3195_Image	Image	15	3	7
451.769	4.012	Img3195_RatingScreens	Rating	15	3	7
468.051	4.012	Img7054_Image	Image	16	4	5
478.073	4.012	Img7054_RatingScreens	Rating	16	4	5
493.856	4.012	Img2730_Image	Image	17	3	5
503.878	4.012	Img2730_RatingScreens	Rating	17	3	5
522.924	4.012	Img2035_Image	Image	18	7	6
532.946	4.012	Img2035_RatingScreens	Rating	18	7	6
550.244	4.012	Img6220_Image	Image	19	4	8
560.266	4.012	Img6220_RatingScreens	Rating	19	4	8
576.165	4.013	Img7279_Image	Image	20	5	6
586.188	4.013	Img7279_RatingScreens	Rating	20	5	6
619.867	4.013	Img3530_Image	Image	21	2	7
629.89	4.013	Img3530_RatingScreens	Rating	21	2	7
648.236	4.012	Img2392_Image	Image	22	6	5
658.258	4.012	Img2392_RatingScreens	Rating	22	6	5
674.391	4.012	Img1947_Image	Image	23	9	1
684.413	4.012	Img1947_RatingScreens	Rating	23	9	1
699.43	4.012	Img9043_Image	Image	24	4	7
709.452	4.012	Img9043_RatingScreens	Rating	24	4	7
723.137	4.012	Img5833_Image	Image	25	6	5
733.159	4.012	Img5833_RatingScreens	Rating	25	6	5
746.544	4.013	Img1630_Image	Image	26	6	5
756.567	4.013	Img1630_RatingScreens	Rating	26	6	5
772.033	4.012	Img1710_Image	Image	27	9	1
782.055	4.012	Img1710_RatingScreens	Rating	27	9	1
797.239	4.012	Img7043_Image	Image	28	6	5
807.261	4.012	Img7043_RatingScreens	Rating	28	6	5
825.408	4.012	Img3110_Image	Image	29	3	6
835.43	4.012	Img3110_RatingScreens	Rating	29	3	6
851.845	4.012	Img5725_Image	Image	30	5	5
861.867	4.012	Img5725_RatingScreens	Rating	30	5	5
891.835	4.012	Img4612_Image	Image	31	7	7
901.857	4.012	Img4612_RatingScreens	Rating	31	7	7
916.574	4.012	Img9220_Image	Image	32	4	8
926.596	4.012	Img9220_RatingScreens	Rating	32	4	8
944.327	4.012	Img1750_Image	Image	33	7	5
954.349	4.012	Img1750_RatingScreens	Rating	33	7	5
968.284	4.012	Img5825_Image	Image	34	9	5
978.306	4.012	Img5825_RatingScreens	Rating	34	9	5
992.923	4.012	Img4007_Image	Image	35	7	7
1002.946	4.012	Img4007_RatingScreens	Rating	35	7	7
1017.846	4.012	Img5829_Image	Image	36	8	7
1027.868	4.012	Img5829_RatingScreens	Rating	36	8	7
1042.186	4.012	Img9185_Image	Image	37	3	7
1052.208	4.012	Img9185_RatingScreens	Rating	37	3	7
1070.355	4.012	Img4085_Image	Image	38	9	8
1080.377	4.012	Img4085_RatingScreens	Rating	38	9	8
1097.042	4.012	Img8190_Image	Image	39	9	7
1107.064	4.012	Img8190_RatingScreens	Rating	39	9	7
1121.532	4.012	Img9075_Image	Image	40	2	9
1131.554	4.012	Img9075_RatingScreens	Rating	40	2	9
